family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,gps_med,gps_shape,gps_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
weibull,59.11025379349189,70.77314758050257,17.0,0.7,28.697305421391516,46.975347139277204,0.5,97.77303040766209,1000,458,348,348,0.348,1.0,0.0,0.525861849415493,0.8591954022988506,0.8591954022988506,69.97012413504558,64.06363153193969,78.98577210350777,0.5912166315832315,2.0294746446486203,20.0,35.0
weibull,60.58792684956505,71.25419390666917,14.5,0.5,30.179850224581315,38.587798044080735,0.6,71.07893224416003,1000,459,346,346,0.346,1.0,0.0,0.5898169922306533,0.6705202312138728,0.6705202312138728,70.90872895381766,64.70333254007119,80.69188991503205,0.5626663404262727,2.227549606329214,21.0,33.0
weibull,60.88561699866337,72.494355952465,14.5,0.5,30.179850224581315,34.97357243180279,0.7,59.03807586780019,1000,451,345,345,0.345,1.0,0.0,0.6198994382679943,0.5594202898550724,0.5594202898550724,68.91611166903729,64.36727618023787,76.4618110559634,0.5553979780218241,2.261553375515982,22.0,32.0
weibull,60.1383691760555,71.72926199874149,15.5,0.5,32.261219205586926,34.97357243180279,0.7,59.03807586780019,1000,461,345,345,0.345,1.0,0.0,0.6361330138489781,0.4985507246376812,0.4985507246376812,69.24784421933566,63.453314020171945,77.78365239417317,0.5700524884603126,2.184521770523506,22.0,32.0
weibull,60.96165268945322,71.75062397536914,15.5,0.5,32.261219205586926,34.97357243180279,0.6,64.42150916143456,1000,449,344,344,0.344,1.0,0.0,0.6244740671598343,0.5377906976744186,0.5377906976744186,70.74017812324001,64.88554462900836,80.93233752808779,0.5871069236149622,2.0404931582198094,22.0,32.0
weibull,60.20761865211391,70.86544265677622,15.0,0.5,31.22053471508412,38.587798044080735,0.6,71.07893224416003,1000,448,343,343,0.343,1.0,0.0,0.6014009672633213,0.6180758017492711,0.6180758017492711,71.26249407905838,65.07847333266757,80.52447964754258,0.5689970153652426,2.1758457700841936,22.0,33.0
weibull,59.09250050501291,70.6186171033541,16.0,0.6,29.47208634728028,42.5755235841089,0.6,78.42434420947033,1000,466,343,343,0.343,1.0,0.0,0.5598884798723348,0.7638483965014577,0.7638483965014577,71.4546110980861,64.92527552808338,78.53850376955712,0.5662379617572075,2.193261284117315,21.0,34.0
weibull,61.14233228907321,71.84308476766249,14.0,0.6,25.788075553870243,46.975347139277204,0.5,97.77303040766209,1000,445,342,342,0.342,1.0,0.0,0.512285261273165,0.8830409356725146,0.8830409356725146,71.36525870811197,64.7142043257545,79.81379943992495,0.5526347891360399,2.281848066428295,20.0,35.0
weibull,60.30269388694924,70.83560847921126,13.5,0.5,28.09848124357571,42.5755235841089,0.6,78.42434420947033,1000,463,341,341,0.341,1.0,0.0,0.5498111620446627,0.7800586510263929,0.7800586510263929,72.68832176761806,65.93458929036245,81.33316231976772,0.5297361550268894,2.432183560150821,21.0,34.0
weibull,60.73429076099783,73.38179571900781,16.0,0.7999999999999999,25.29811464425653,46.975347139277204,0.5,97.77303040766209,1000,485,341,341,0.341,1.0,0.0,0.4860471007387846,0.9325513196480938,0.9325513196480938,67.89284931485696,63.80483248707393,75.75112571881496,0.5815128434146667,2.091281107187716,19.0,35.0
weibull,60.26473736612853,71.03250179727448,16.5,0.5,34.34258818659253,34.97357243180279,0.6,64.42150916143456,1000,454,341,341,0.341,1.0,0.0,0.654864768665115,0.44281524926686217,0.44281524926686217,70.95017796851987,65.62826828865022,79.71596435320431,0.6133786860000336,1.8835371082895798,23.0,32.0
weibull,60.988850446499185,70.675584926414,13.0,0.5,27.057796753072903,46.975347139277204,0.5,97.77303040766209,1000,434,340,340,0.34,1.0,0.0,0.5376183395769385,0.7823529411764706,0.7823529411764706,74.04313361801485,65.65550191660155,85.5242163509863,0.5494030382290707,2.317641749042642,21.0,34.0
weibull,60.67061971372653,71.36824469034187,14.5,0.6,26.709078252222753,46.975347139277204,0.5,97.77303040766209,1000,433,340,340,0.34,1.0,0.0,0.5198121109124711,0.8647058823529412,0.8647058823529412,71.51127319226576,65.18852562644355,82.76001150787135,0.5605340402838688,2.2346005924464385,20.0,35.0
weibull,60.89306137043751,72.69557317396087,16.5,0.6,30.393089045632784,34.97357243180279,0.6,64.42150916143456,1000,471,340,340,0.34,1.0,0.0,0.6141274962308096,0.5529411764705883,0.5529411764705883,69.00601824284783,63.903034583129866,77.46338204963666,0.62055798362041,1.8300302823012007,22.0,33.0
weibull,59.95561546972628,71.49857923238136,15.0,0.6,27.63008095057526,42.5755235841089,0.6,78.42434420947033,1000,471,339,339,0.339,1.0,0.0,0.5463378654441718,0.7846607669616519,0.7846607669616519,69.87201461399931,63.903438275971936,77.36024767744401,0.5492994598101739,2.287162366740862,20.0,34.0
weibull,60.86589859156325,70.72057459716025,15.5,0.5,32.261219205586926,38.587798044080735,0.5,80.31544589425852,1000,442,339,339,0.339,1.0,0.0,0.6061022294436448,0.6017699115044248,0.6017699115044248,73.90642241384543,66.47539076994642,84.04341923065252,0.59917914905424,1.9614314982997165,22.0,33.0
weibull,60.7384138305676,71.33312455074565,13.5,0.6,24.867072855517733,51.82985558583315,0.5,107.87705370635337,1000,458,337,337,0.337,1.0,0.0,0.494960493797471,0.9347181008902077,0.9347181008902077,72.14152722575565,65.36355460413323,81.42746565812426,0.534767574565252,2.411021824467106,19.0,35.0
weibull,61.04768665836232,72.73567798788623,15.0,0.7,25.32115184240428,46.975347139277204,0.5,97.77303040766209,1000,443,337,337,0.337,1.0,0.0,0.4940439548467256,0.9080118694362018,0.9080118694362018,68.59212129644786,63.82064038215965,77.28118699509297,0.5656478285831481,2.22052672862296,19.0,35.0
