family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,leak_yr,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
leaky,59.72598618021317,70.8327676716402,17.0,0.7,28.697305421391516,0.6000000000000001,10.0,2.0,12.011224087864498,0.03,1000,455,372,372,0.372,1.0,0.0,0.4788459681343563,0.9489247311827957,0.9489247311827957,75.42975236331151,66.28555546558302,88.68714838641081,0.5687966170373937,2.1752039582816387,20.0,34.0
leaky,59.58714611129902,71.90514361082302,17.0,0.7999999999999999,26.879246809522563,0.4,14.0,0.5,29.13916573407851,0.04,1000,498,372,372,0.372,1.0,0.0,0.5000331990276282,0.8924731182795699,0.8924731182795699,68.8823116247136,64.20351215012835,77.17162465181411,0.6038685741252047,1.9391375323908835,19.0,35.0
leaky,60.68674870747738,70.84333902930317,14.0,0.5,29.13916573407851,0.30000000000000004,24.0,0.5,49.95285554413459,0.09,1000,472,371,371,0.371,1.0,0.0,0.5797730138445986,0.7142857142857143,0.7142857142857143,72.28975672508783,65.24712365517914,82.0365972152481,0.5633281798870275,2.197885372226962,21.0,33.0
leaky,60.09068019959737,70.6550487089811,15.5,0.6,28.55108364892777,0.30000000000000004,20.0,0.5,41.62737962011216,0.04,1000,467,371,371,0.371,1.0,0.0,0.5320558677014119,0.8382749326145552,0.8382749326145552,72.25821719481277,65.70961670280326,81.93630151167372,0.5798169760964954,2.0901257393048667,20.0,35.0
leaky,60.069554785612965,71.19845779005446,15.5,0.6,28.55108364892777,0.7000000000000001,8.0,1.5,10.214246778418289,0.09,1000,462,371,371,0.371,1.0,0.0,0.5346232332278602,0.8517520215633423,0.8517520215633423,71.4393788022333,64.8031719128478,81.08549392782672,0.5416909190368046,2.368116027829773,21.0,34.0
leaky,60.360489955243835,71.75145954990613,15.5,0.7999999999999999,24.507548561623512,0.6000000000000001,4.0,0.5,8.325475924022431,0.04,1000,492,371,371,0.371,1.0,0.0,0.4378926671776666,0.9757412398921833,0.9757412398921833,70.41759560544419,64.42321311169496,79.11804489723468,0.5657397608859094,2.1812077779971,17.0,37.0
leaky,61.12935324373734,72.50655140428738,16.0,0.5,33.301903696089724,0.5,12.0,1.5,15.321370167627434,0.03,1000,471,371,371,0.371,1.0,0.0,0.592547421488478,0.6307277628032345,0.6307277628032345,77.12369953682143,65.81318592767141,94.41191768011015,0.5844922528765041,2.0555640591257336,23.0,31.0
leaky,59.81751992836015,71.25730932583019,16.0,0.7,27.009228631897898,0.2,28.0,0.5,58.27833146815702,0.02,1000,477,371,371,0.371,1.0,0.0,0.5089097689848273,0.8840970350404312,0.8840970350404312,70.10867540062421,64.4087676384534,79.31127154862116,0.5862202446631573,2.0717492744990555,19.0,35.0
leaky,59.25845737510504,70.91409697766817,16.0,0.7999999999999999,25.29811464425653,0.4,14.0,0.5,29.13916573407851,0.01,1000,492,371,371,0.371,1.0,0.0,0.44056928420525604,0.9730458221024259,0.9730458221024259,70.6185289039687,64.39061093644834,80.14206650809305,0.5507385765369692,2.2971477528966298,18.0,37.0
leaky,60.238230324314856,70.6642544897337,16.5,0.6,30.393089045632784,0.6000000000000001,10.0,2.0,12.011224087864498,0.04,1000,465,371,371,0.371,1.0,0.0,0.5130139574606898,0.889487870619946,0.889487870619946,77.1903942171647,66.8300143933427,92.26158152834947,0.5783569234985942,2.115119515217235,21.0,33.0
leaky,59.49575883826543,71.15952171159907,16.5,0.7,27.85326702664471,0.30000000000000004,22.0,0.5,45.79011758212337,0.05,1000,484,371,371,0.371,1.0,0.0,0.513590389712212,0.8867924528301887,0.8867924528301887,70.23361162146989,64.30220689943827,79.13153814419276,0.5702569529140973,2.146603024513624,19.0,35.0
leaky,59.80350190890221,71.17884539112762,16.5,0.8999999999999999,24.793882747335115,0.6000000000000001,8.0,1.5,10.214246778418289,0.0,1000,472,371,371,0.371,1.0,0.0,0.3533870819967211,0.9973045822102425,0.9973045822102425,74.96432636435648,65.99027115274527,89.0804488013589,0.525986593232977,2.485898576882017,16.0,38.0
leaky,60.56447942575825,71.31032584394661,14.5,0.6,26.709078252222753,0.4,16.0,0.5,33.301903696089724,0.06,1000,461,370,370,0.37,1.0,0.0,0.5296066384838654,0.845945945945946,0.845945945945946,70.93392511186266,64.83387721542971,79.53878654493504,0.5599852917705062,2.2283778725241676,20.0,35.0
leaky,60.95831036332629,71.9761057081459,15.0,0.7,25.32115184240428,0.5,8.0,0.5,16.650951848044862,0.04,1000,477,370,370,0.37,1.0,0.0,0.4766482381609182,0.9297297297297298,0.9297297297297298,71.57475395022247,64.33150221895514,81.2522543188789,0.565940080563827,2.200680111467065,19.0,36.0
