family,exp_ev_ia,exp_ev_upd,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
cure,59.80169939739045,71.25263949677944,16.5,0.7999999999999999,26.088680726889546,0.55,8.0,1.0,11.541560327111707,1000,485,378,378,0.378,1.0,0.0,0.4248945665769336,0.9788359788359788,0.9788359788359788,73.24290021865275,65.64921590712422,87.85520899877258,0.5645569375775991,2.193788337566027,18.0,36.0
cure,61.14054854960629,72.30478197939672,16.5,0.7999999999999999,26.088680726889546,0.55,8.0,1.25,10.725798112670647,1000,458,378,378,0.378,1.0,0.0,0.4119746105136058,0.9867724867724867,0.9867724867724867,75.31519180011469,65.24855604903097,91.5668532107934,0.5677879057490653,2.1923194514296602,18.0,36.0
cure,60.37599865464915,70.77765343066021,17.0,0.7,28.697305421391516,0.55,10.0,2.0,12.011224087864498,1000,442,378,378,0.378,1.0,0.0,0.4276747496087677,0.9788359788359788,0.9788359788359788,81.06710544912526,68.46557140544195,103.57264876210036,0.5890281162056841,2.0489316259958956,20.0,35.0
cure,61.06005795315012,70.81601484957929,17.0,0.8999999999999999,25.54521252755739,0.6000000000000001,5.0,1.5,6.38390423651143,1000,476,378,378,0.378,1.0,0.0,0.3536819874161327,1.0,1.0,79.3893841429022,67.91397637043761,97.01511688225858,0.6176657716925444,1.8741828304183743,17.0,38.0
cure,59.86783815656663,72.32098536199372,18.0,1.0999999999999999,25.11751275233335,0.6000000000000001,8.0,2.0,9.608979270291599,1000,483,378,378,0.378,1.0,0.0,0.35809147157647514,1.0,1.0,71.86803014517301,65.25355701569286,83.25277292248042,0.5824907835150008,2.0991349835519104,16.0,38.0
cure,60.109097567474194,71.0778830429268,14.5,0.5,30.179850224581315,0.25,21.0,0.75,34.23355597279682,1000,476,377,377,0.377,1.0,0.0,0.5868288574273821,0.6843501326259946,0.6843501326259946,71.26199263642305,64.81107152176888,81.4586032201875,0.5459388319661509,2.336097032917523,22.0,33.0
cure,60.993265417830656,72.08242983236804,15.5,0.7999999999999999,24.507548561623512,0.45,8.0,0.5,16.650951848044862,1000,480,377,377,0.377,1.0,0.0,0.4396692305308899,0.9814323607427056,0.9814323607427056,71.94893598546501,64.85512288506214,83.05259320301064,0.5747778490961617,2.130632005520425,17.0,37.0
cure,59.800072724509064,71.04502757371544,16.5,0.8999999999999999,24.793882747335115,0.6000000000000001,7.0,1.25,9.385073348586817,1000,471,377,377,0.377,1.0,0.0,0.3543731741784184,1.0,1.0,76.08254714186805,66.84326177809092,92.68619868627722,0.541084638345362,2.335968157193333,17.0,38.0
cure,60.65671430120521,72.2383288544174,17.0,0.9999999999999999,24.52581569511238,0.6000000000000001,8.0,2.0,9.608979270291599,1000,478,377,377,0.377,1.0,0.0,0.35301220948815737,1.0,1.0,73.24470225147101,65.43714091118119,85.19647082683089,0.5610118192918555,2.248158103154511,16.0,38.0
cure,61.065170179094174,71.64670702263855,17.5,0.9999999999999999,25.247163215556863,0.6000000000000001,6.0,2.0,7.206734452718699,1000,461,377,377,0.377,1.0,0.0,0.35419315207655316,1.0,1.0,76.67082420501475,66.98792536519235,88.85469504856073,0.6190090849886672,1.8626453314120424,16.0,39.0
cure,59.05552857606589,71.61538019091228,18.5,1.0999999999999999,25.815221439898167,0.6000000000000001,7.0,1.5,8.937465931116003,1000,496,377,377,0.377,1.0,0.0,0.3713218928826426,1.0,1.0,71.60518853030291,64.51959399149585,81.5811094523876,0.604253975182366,1.9275045714973604,16.0,38.0
cure,60.74562016166746,72.04355227271441,15.0,0.5,31.22053471508412,0.2,22.0,0.75,35.863725304834766,1000,481,376,376,0.376,1.0,0.0,0.6300903006603765,0.5186170212765957,0.5186170212765957,70.39424796653631,64.48788366909113,78.59127159295358,0.585790119174867,2.0691004099992734,22.0,32.0
cure,61.09151937276965,71.1666343567841,15.5,0.7,26.165190237151087,0.55,7.0,1.0,10.098865286222745,1000,463,376,376,0.376,1.0,0.0,0.429031032510518,0.9840425531914894,0.9840425531914894,78.72854873232562,67.24577176326397,98.30203448103785,0.5781745787869095,2.107970915187349,19.0,36.0
cure,61.14848491280081,70.97359991566171,16.5,0.6,30.393089045632784,0.5,8.0,1.0,11.541560327111707,1000,460,376,376,0.376,1.0,0.0,0.5103717232375733,0.8803191489361702,0.8803191489361702,80.85058992195982,67.42235962360205,102.65945639918527,0.6135956470952466,1.87460483936405,21.0,33.0
cure,59.89660475778928,71.7581256188521,17.0,1.1999999999999997,23.07248490405292,0.65,4.0,1.5,5.1071233892091445,1000,475,376,376,0.376,1.0,0.0,0.30141054775927567,1.0,1.0,71.5913200399606,65.38822269334675,83.72172439676402,0.5480526709298378,2.3301717800229524,13.0,41.0
