family,exp_ev_ia,exp_ev_upd,exp_ev_pr3,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,leak_yr,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,hr_final_low,hr_final_high,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
leaky,59.634289254374245,72.77560555885995,76.95079530148139,19.0,1.0,27.411205776890306,0.7000000000000001,4.0,1.5,5.1071233892091445,0.08,800,118,75,75,0.09375,1.0,0.0,0.4961888572628676,0.3033149328293427,0.6176776787190574,0.9866666666666667,0.9866666666666667,66.03291138577511,63.89301246497401,70.54809958399358,0.6501238049096965,1.6331945259637977,18.0,36.0
leaky,60.02733444525899,73.20604393374325,77.35796599926054,17.0,0.8,26.879246809522563,0.4,18.0,0.5,37.464641658100945,0.09,800,119,74,74,0.0925,1.0,0.0,0.5356370333141773,0.36736919942215507,0.7324075750583924,0.8378378378378378,0.8378378378378378,65.56733836315487,63.92712823096395,68.23076420425532,0.5811847082519079,2.105779823374286,20.0,34.5
leaky,60.49607859962898,73.4624736372267,77.51481730165472,16.0,0.8,25.29811464425653,0.5,12.0,0.5,24.976427772067296,0.08,800,114,73,73,0.09125,1.0,0.0,0.5420838873460505,0.35761842112329245,0.7281637834469364,0.7808219178082192,0.7808219178082192,65.4484868605252,63.522817955295345,68.34663850455534,0.6024551494941798,1.949803804409781,19.0,34.0
leaky,59.326406281346415,73.12893376652005,77.24459005865515,17.0,1.0,24.525815695112378,0.30000000000000004,22.0,0.5,45.79011758212337,0.01,800,124,73,73,0.09125,1.0,0.0,0.42892997385618054,0.30158993016025865,0.6038782830112016,0.9863013698630136,0.9863013698630136,65.61701044075961,63.79536153798824,70.40634062534514,0.5725753212191567,2.160304541828367,17.0,37.0
leaky,59.59933852167039,73.32733244939271,77.4608182526566,18.0,1.0,25.968510736001342,0.4,12.0,0.5,24.976427772067296,0.02,800,116,73,73,0.09125,1.0,0.0,0.4823952050860148,0.31603974393474343,0.6977829999272904,0.958904109589041,0.958904109589041,65.27701555707374,63.620084304238944,69.85409854211383,0.6339173305473645,1.7300927769859389,18.0,36.0
leaky,59.6216038260982,72.63675089838284,76.72974371184574,17.0,0.8,26.879246809522563,0.4,18.0,0.5,37.464641658100945,0.08,800,109,72,72,0.09,1.0,0.0,0.5207672892374771,0.34248249760289706,0.7291670632180168,0.875,0.875,65.84694363642164,63.86809828465527,71.4103551599626,0.5827455933341159,2.110130401076151,19.0,35.0
leaky,59.68423444515658,73.34271712227951,77.3880083000123,17.0,1.0,24.525815695112378,0.30000000000000004,20.0,0.5,41.62737962011216,0.0,800,105,72,72,0.09,1.0,0.0,0.4215511003829705,0.31654329321039953,0.5950815589536531,1.0,1.0,65.83570958262172,63.66847326578371,70.85490713875498,0.5532574800835803,2.292137150363482,17.0,37.0
leaky,59.17144384550859,73.01323123561897,77.23827369023175,17.0,0.8,26.879246809522563,0.7000000000000001,8.0,1.0,11.541560327111707,0.1,800,108,72,72,0.09,1.0,0.0,0.5390698258532285,0.3834547705067702,0.8256476163117549,0.8472222222222222,0.8472222222222222,65.31664586195211,63.52728906398547,70.36103830185452,0.5870713458785151,2.057138049158471,20.0,34.0
leaky,58.78873067851603,73.18631920160544,77.78060462073009,18.0,0.6,33.15609714069031,0.30000000000000004,22.0,1.0,31.739290899557197,0.08,800,117,72,72,0.09,1.0,0.0,0.6726894987821428,0.48107056683798166,0.8803997619856425,0.3611111111111111,0.3611111111111111,65.3645953825581,63.365750263479946,69.0309912403425,0.5732228763308551,2.1126375091528278,23.0,30.0
leaky,59.062386782166946,72.99038159048564,77.35369513191642,18.0,0.6,33.15609714069031,0.4,18.0,1.0,25.968510736001342,0.08,800,116,72,72,0.09,1.0,0.0,0.6745058490560624,0.4860536504312566,0.9664016192255607,0.4166666666666667,0.4166666666666667,65.8861243787128,64.0091723188983,69.82786839472419,0.5831653402340649,2.0729487270710005,23.0,31.0
