family,exp_ev_ia,exp_ev_upd,exp_ev_pr3,bat_med,bat_shape,bat_scale,gps_med,gps_shape,gps_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,hr_final_low,hr_final_high,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
weibull,58.69649317472117,73.06336039819566,77.582177294396,14.0,0.8,22.135850313724465,49.4858660162451,0.8,78.24369448433042,800,115,24,24,0.03,1.0,0.0,0.4484062312215533,0.3634319511184644,0.6362543773598779,0.9583333333333334,0.9583333333333334,65.47967544894833,63.30168142931139,70.82759827639988,0.5036588589661768,2.618590357641217,19.0,35.0
weibull,59.12973325308681,73.28436190194306,77.40713468822099,14.0,1.0,20.19773057244549,74.19008751431086,0.6,136.65854158337814,800,112,23,23,0.02875,1.0,0.0,0.33322863739854375,0.2736414979407967,0.4269807557815742,1.0,1.0,64.96841000761431,63.37482032724758,68.7412924413932,0.4254253743161827,3.2453616599143076,15.0,39.0
weibull,58.62008728452889,72.86624441897192,77.57780073567095,13.0,0.6,23.946070157165224,40.41558046783389,1.0,58.307357515592805,800,117,21,21,0.02625,1.0,0.0,0.5350603841322333,0.39561539059507195,0.7527360849569743,0.8095238095238095,0.8095238095238095,65.61010694968544,63.297092475839335,68.2084155976399,0.48275031622176623,2.7329351483229005,20.0,34.0
weibull,59.55465495977186,73.39615526651727,77.82041782293217,23.0,0.8,36.36603980111876,26.95777922642577,0.6,49.656374818258676,800,99,20,20,0.025,1.0,0.0,0.6849543039006425,0.49488069375738997,0.950259964079028,0.35,0.35,66.00710979039043,63.80302567615803,70.45712670057053,0.7065003813219997,1.3472241841199932,22.0,31.0
weibull,58.84907032971073,72.62478526246069,77.04574814372214,24.0,0.8,37.94717196638479,26.95777922642577,0.6,49.656374818258676,800,117,17,17,0.02125,1.0,0.0,0.7373685634001231,0.5651664638603386,0.8683798003614368,0.17647058823529413,0.17647058823529413,66.31466443060496,64.55200317357537,70.32000404765749,0.7299494331096992,1.1825023673513642,23.0,31.0
weibull,59.39419669434608,73.21044735711826,77.61864760200986,29.0,0.6,53.418156504445506,22.016676341524423,0.8,34.811275135835956,800,107,12,12,0.015,1.0,0.0,0.9856060174351565,0.7594806709405465,1.051447420293766,0.0,0.0,64.27760389456024,63.215915746502105,66.22717917575291,0.7994848954139098,0.8642287901546278,27.0,26.5
weibull,58.96985948459489,72.58845496937721,76.79384763819634,12.0,0.8,18.973585983192397,60.5917546409302,0.8,95.80357221268217,800,92,10,10,0.0125,1.0,0.0,0.34272147229359584,0.31593155426768293,0.43100283212234836,1.0,1.0,64.83513511070497,63.520871000769844,69.75676406326191,0.45446933415389096,3.011309705273721,16.0,38.0
weibull,59.084462389824154,72.36021441919415,76.73240132238111,10.0,0.6,18.420053967050173,49.4858660162451,1.0,71.39301349573249,800,117,7,7,0.00875,1.0,0.0,0.4264246097239791,0.3905292075563739,0.5323666007874409,1.0,1.0,65.52168218749915,64.31982431564465,67.30832419576696,0.42107780522491595,3.205926755356334,17.0,36.0
weibull,58.985158527297415,72.75937130423318,77.1589892724399,30.0,0.6,55.26016190115052,22.016676341524423,0.8,34.811275135835956,800,130,7,7,0.00875,1.0,0.0,0.9055954781509424,0.8109956449596938,1.051127886171765,0.0,0.0,66.0490282699389,63.580498537656986,68.75144187484183,0.7744674665887804,0.9544685570080312,26.0,28.0
weibull,59.48089113238457,73.25055465448065,77.67964082019432,27.0,0.8,42.690568462182895,22.016676341524423,0.6,40.55483663859567,800,109,6,6,0.0075,1.0,0.0,0.8022938799291186,0.5763765667787423,0.9406399089104015,0.16666666666666666,0.16666666666666666,65.83986124512569,63.91670242371225,68.6585905738811,0.6986823869076695,1.3894070991149725,23.5,29.5
