family,exp_ev_ia,exp_ev_upd,exp_ev_pr3,bat_med,bat_shape,bat_scale,cure_frac,unc_med,unc_shape,unc_scale,n_attempts,n_pass_events,n_pass_futility,n_accepted,acceptance_rate,p_reach80,p_no_readout,median_hr_final,hr_final_low,hr_final_high,p_hr_below_threshold,p_success_overall,median_t80_months,p10_t80_months,p90_t80_months,median_hr_ia,median_z_ia,median_bat_alive_upd,median_gps_alive_upd
cure,58.55301190146585,73.0037685303924,77.70948357588065,20.0,0.6,36.840107934100345,0.0,30.0,0.8999999999999999,45.07978681333657,800,118,69,69,0.08625,1.0,0.0,0.7423629017256059,0.49657482276929393,0.9861362243727705,0.2318840579710145,0.2318840579710145,65.16459285244264,63.43394868615898,67.72952485176427,0.6236181548286028,1.7746864996057319,24.0,30.0
cure,59.737589265728396,73.3712618643938,77.69090720753867,16.0,0.6,29.47208634728028,0.15000000000000002,26.0,0.8999999999999999,39.06914857155836,800,105,68,68,0.085,1.0,0.0,0.6201339646769372,0.4130176524459948,0.8530215588323639,0.5735294117647058,0.5735294117647058,65.4116681238821,63.511715301758315,70.18172537641563,0.5279210145311305,2.4202851907742113,22.0,32.0
cure,58.931006931972945,72.5414254949703,76.8672437502691,17.0,0.6,31.314091743985294,0.15000000000000002,26.0,0.8999999999999999,39.06914857155836,800,113,68,68,0.085,1.0,0.0,0.6311241334867047,0.41234069226283643,0.8026454609412919,0.5147058823529411,0.5147058823529411,65.39499099856042,63.716218415341125,68.3823564146127,0.5873201230088327,2.0579094424187017,22.0,32.0
cure,59.55728582708896,72.60510759937745,76.6361122412142,18.0,0.8,28.460378974788597,0.2,23.0,0.6,42.366124124215396,800,102,68,68,0.085,1.0,0.0,0.5390490454123888,0.31304407790423355,0.7636687988716913,0.8088235294117647,0.8088235294117647,65.8976142990766,63.73219408530704,69.6936040997656,0.602953756015891,1.9300988562893484,20.0,34.0
cure,59.11223255658791,72.50318392319596,76.70362846957198,19.0,0.8,30.04151114005463,0.1,29.0,0.6,53.418156504445506,800,112,68,68,0.085,1.0,0.0,0.5712389516100513,0.4132398453738304,0.7643028525372981,0.75,0.75,66.33823620245741,63.75973464193041,69.82850994298133,0.6376870499801086,1.7431276294036273,20.0,33.0
cure,58.99066000738347,72.7986280991761,76.922554706672,19.0,1.0,27.411205776890306,0.4,11.0,0.6,20.262059363755192,800,117,68,68,0.085,1.0,0.0,0.4774554776297566,0.35717187352344437,0.6885435785375645,0.8970588235294118,0.8970588235294118,66.31894803015074,64.0013038870833,70.11447215489325,0.6443646507530639,1.7086626041114328,19.0,36.0
cure,58.90287424272058,72.64261371330775,77.05992905057235,16.0,0.6,29.47208634728028,0.1,30.0,0.8999999999999999,45.07978681333657,800,109,67,67,0.08375,1.0,0.0,0.5966861078309204,0.4243172032970351,0.8043457815313187,0.6567164179104478,0.6567164179104478,66.27542977104846,63.79529268489957,69.93036050178014,0.5365821565487536,2.3663837031228216,22.0,32.0
cure,60.010356056428776,73.2034484881097,77.27722700953791,17.0,0.8,26.879246809522563,0.15000000000000002,28.0,0.6,51.576151107740486,800,109,67,67,0.08375,1.0,0.0,0.5033420938842128,0.3416304397279557,0.7100511417159924,0.9701492537313433,0.9701492537313433,65.78381265381347,63.83288021813717,70.91192448626768,0.5553008059581352,2.2700098310473718,19.0,35.0
cure,59.68063927476937,73.06764055905217,77.24345546409081,18.0,0.8,28.460378974788597,0.1,30.0,0.6,55.26016190115052,800,108,67,67,0.08375,1.0,0.0,0.5397312743759239,0.3554572437984741,0.7302048117378503,0.8059701492537313,0.8059701492537313,66.35686015290854,63.75317521647879,69.99503873214391,0.6072867727387253,1.8555120564551328,20.0,34.0
cure,59.4840175271876,72.9822782501892,77.27485503240914,15.0,0.6,27.63008095057526,0.15000000000000002,28.0,0.8999999999999999,42.07446769244746,800,125,66,66,0.0825,1.0,0.0,0.5745893925015293,0.42877226049301076,0.7518523974908328,0.6666666666666666,0.6666666666666666,65.65250935437767,64.00579008697927,68.67348462851719,0.5056684449660573,2.5943221406875554,21.0,32.0
